id_drug|contra_indication 
43|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
43|Do not exceed the recommended dose
43|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
43|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
43|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
43|Patients who are hypersensitive to the components of this drug
43|Patients with severe liver dysfunction
43|Patients with heart problems and diabetes mellitus
44|Patients who have a history of hypersensitivity to any of the components of this drug
44|Patients who have sensitivity to other sympathomimetic drugs such as ephedrine, pseudoephedrine, phenylephrine are also contraindicated in using this drug.
44|Patients with severe hypertension, heart disease, diabetes mellitus, and severe liver dysfunction should not use this drug
44|Also contraindicated for patients who are using monoamine oxidase MAO inhibitors, because they can increase blood pressure.
45|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
45|Do not exceed the recommended dose
45|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
45|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
45|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
45|Patients who are hypersensitive to the components of this drug
45|Patients with severe liver dysfunction
45|Patients with heart problems and diabetes mellitus
46|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
46|Do not exceed the recommended dose
46|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
46|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
46|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
46|Patients who are hypersensitive to the components of this drug
46|Patients with severe liver dysfunction
46|Patients with heart problems and diabetes mellitus
47|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
47|Do not exceed the recommended dose
47|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
47|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
47|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
47|Patients who are hypersensitive to the components of this drug
47|Patients with severe liver dysfunction
47|Patients with heart problems and diabetes mellitus
48|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
48|Do not exceed the recommended dose
48|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
48|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
48|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
48|Patients who are hypersensitive to the components of this drug
48|Patients with severe liver dysfunction
48|Patients with heart problems and diabetes mellitus
49|Patients who have a history of hypersensitivity to any of the components of this drug
49|Patients who have sensitivity to other sympathomimetic drugs such as ephedrine, pseudoephedrine, phenylephrine are also contraindicated in using this drug.
49|Patients with severe hypertension, heart disease, diabetes mellitus, and severe liver dysfunction should not use this drug
49|Also contraindicated for patients who are using monoamine oxidase MAO inhibitors, because they can increase blood pressure.
50|It should not be given to sufferers who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant drug therapy.
50|Do not exceed the recommended dose. Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
50|If within 3 days the symptoms do not decrease, immediately contact a doctor or health service unit
50|Stop using this medication if you experience insomnia, palpitations, and dizziness
50|Patients with heart problems and diabetes mellitus
50|Do not use if allergic to Triprolidine HCL, Pseudoephedrine HCL, Dextromethorphan Downstream, and the glue components in this drug
50|The patient has severe renal impairment
50|Patients with mild and moderate kidney disorders should consult a doctor
50|Patients use other medicines to relieve coughs, colds and flu, nasal congestion
50|Patients use other drugs such as cyclic antidepressants, stimulant drugs such as amphetamine, sometimes used to treat attention disorders or appetite suppressants.
50|The patient is taking antibiotics such as furazolidone or linezolid
50|The patient has an infection in the respiratory tract, asthma, or other respiratory problems
51|Do not use if allergic to Triprolidine HCL, Pseudoephedrine HCL, Dextromethorphan Downstream, and the glue components in this drug
51|The patient has severe renal impairment
51|Patients with mild and moderate kidney disorders should consult a doctor
51|Patients use other medicines to relieve coughs, colds and flu, nasal congestion
51|Patients use other drugs such as cyclic antidepressants, stimulant drugs such as amphetamine, sometimes used to treat attention disorders or appetite suppressants.
51|The patient is taking antibiotics such as furazolidone or linezolid
52|Children less than 6 years old
52|Alcohol consumption
52|children under 4 years of age
52|hypersensitivity
52|monoamine oxidase inhibitor
52|vigorous exercise in hot weather
53|It should not be used in patients who are known to have allergies to the ingredients in Silex Syrup
54|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
54|Do not exceed the recommended dose
54|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
54|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
54|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
54|Patients who are hypersensitive to the components of this drug
54|Patients with severe liver dysfunction
55|Sufferers of hypersensitivity, liver disease or respiratory failure
56|In hypertensive patients
56|chronic hepatitis
56|severe kidney disorders
56|diabetes
57|In patients who have a history of hypersensitivity to the ingredients in this product
58|BISOLVON should not be used by patients who are hypersensitive to bromhexine HCl or other components in the formula. In certain rare cases, namely conditions where there is incompatibility with the additional substances contained in the medicinal product, use of the product is contraindicated.
59|BISOLVON should not be used by patients who are hypersensitive to bromhexine HCl or other components in the formula. In certain rare cases, namely conditions where there is incompatibility with the additional substances contained in the medicinal product, use of the product is contraindicated.
60|Patients who are hypersensitive to the components of this drug
60|Patients with severe liver dysfunction
61|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
61|Do not exceed the recommended dose
61|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
61|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
61|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
61|Patients with heart problems and diabetes mellitus
61|Patients with severe liver dysfunction
61|Hypersensitivity to the components of this drug
62|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
62|Do not exceed the recommended dose
62|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
62|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
62|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
62|Patients with heart problems and diabetes mellitus
62|Patients with severe liver dysfunction
62|Hypersensitivity to the components of this drug
63|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
63|Do not exceed the recommended dose
63|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
63|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
63|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
63|Patients with a history of hypersensitivity to Paracetamol, Patients with a history of hypersensitivity to Paracetamol, Patients with a history of hypersensitivity to Paracetamol, Pseudoephedrine HCl, Chlorphenamine Maleate and Guaiafenesin
63|Patients with severe liver dysfunction
64|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
64|Do not exceed the recommended dose
64|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
64|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
64|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
64|Patients with a history of hypersensitivity to Paracetamol, Patients with a history of hypersensitivity to Paracetamol, Patients with a history of hypersensitivity to Paracetamol, Pseudoephedrine HCl, Chlorphenamine Maleate and Guaiafenesin
64|Patients with severe liver dysfunction
65|Patients who are too sensitive to drug components
65|In patients with impaired liver function and active liver disease
66|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
66|Do not exceed the recommended dose
66|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
66|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
66|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
66|Patients with a history of hypersensitivity to Paracetamol, Patients with a history of hypersensitivity to Paracetamol, Patients with a history of hypersensitivity to Paracetamol, Pseudoephedrine HCl, Chlorphenamine Maleate and Guaiafenesin
66|Patients with severe liver dysfunction
67|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
67|Do not exceed the recommended dose
67|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
67|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
67|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
67|Patients with a history of hypersensitivity to Paracetamol, Patients with a history of hypersensitivity to Paracetamol, Patients with a history of hypersensitivity to Paracetamol, Pseudoephedrine HCl, Chlorphenamine Maleate and Guaiafenesin
67|Patients with severe liver dysfunction
68|Patients with severe liver dysfunction
68|heart problems and diabetes mellitus. Patients who are hypersensitive to the components of this drug
69|Patients with impaired liver function
69|Patients who are hypersensitive to the components of this drug
70|Patients who have a history of hypersensitivity to one of the ingredients of Triaminic Cough and Cold
71|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
71|Do not exceed the recommended dose
71|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
71|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
71|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
71|Patients with heart problems and diabetes mellitus
72|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
72|Do not exceed the recommended dose
72|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
72|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
72|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
72|Patients who are hypersensitive to the components of this drug
73|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
73|Do not exceed the recommended dose
73|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
73|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
73|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
73|Patients with a history of hypersensitivity to Paracetamol, Patients with a history of hypersensitivity to Paracetamol, Patients with a history of hypersensitivity to Paracetamol, Pseudoephedrine HCl, Chlorphenamine Maleate and Guaiafenesin
73|Patients with severe liver dysfunction
74|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
74|Do not exceed the recommended dose
74|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
74|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
74|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
74|Sufferers are hypersensitive to the components of this drug
74|Sufferers of heart problems and diabetes mellitus
75|Avoid using Rhinos Junior in patients - Patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe hypertension
75|Patients receiving MAO inhibitor type antidepressant drug therapy
75|Severe hypertension or with the potential to develop hypertension or stroke
76|Avoid using Rhinos Neo in patients
76|Sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, severe hypertension sufferers
76|Treated with MAO inhibitor type antidepressant drugs
76|Severe hypertension or with the potential to develop hypertension or stroke
77|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
77|Do not exceed the recommended dose
77|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
77|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
77|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
77|Patients who are hypersensitive to the components of this drug
78|BISOLVON should not be used by patients who are hypersensitive to bromhexine HCl or other components in the formula
78|In certain rare cases, namely conditions where there is incompatibility with the additional substances contained in the medicinal product, use of the product is contraindicated.
79|The patient is hypersensitive to acetylcysteine
79|Children under 2 years old
80|Hypersensitive
80|diabetes
80|liver disease
80|phenylketouria
80|pregnant and breastfeeding
81|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
81|Do not exceed the recommended dose
81|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
81|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
81|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
81|Patients with heart problems and diabetes mellitus
81|Patients with severe liver dysfunction
81|Hypersensitivity to the components of this drug
82|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
82|Do not exceed the recommended dose
82|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
82|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
82|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
82|Patients with heart problems and diabetes mellitus
82|Patients with severe liver dysfunction
83|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
83|Do not exceed the recommended dose
83|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
83|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
83|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
83|Patients with heart problems and diabetes mellitus
83|Patients with severe liver dysfunction
83|If you are receiving therapy using amphetamines generally to treat attention deficit disorder, appetite suppressants, or other drugs that contain antihistamines. If you have a respiratory tract infection, respiratory tract problems
84|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
84|Do not exceed the recommended dose
84|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
84|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
84|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
84|Patients with heart problems and diabetes mellitus
84|Patients with severe liver dysfunction
84|Hypersensitivity to the components of this drug
85|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
85|Do not exceed the recommended dose
85|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
85|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
85|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
85|Patients with heart problems and diabetes mellitus
85|Patients with severe liver dysfunction
85|Sufferers are hypersensitive to one of the components of the drug
86|This drug is not recommended for use by people with heart disease, diabetes mellitus, and severe liver dysfunction, as well as users of MAOI monoamine oxidase inhibitor type antidepressant drugs.
87|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
87|Do not exceed the recommended dose
87|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
87|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
87|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
87|Patients with heart problems and diabetes mellitus
87|Patients with severe liver dysfunction
87|Hypersensitivity to the components of this drug
88|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
88|Do not exceed the recommended dose
88|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
88|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
88|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
88|Patients with heart problems and diabetes mellitus
88|Patients with severe liver dysfunction
88|Hypersensitivity to the components of this drug
89|It should not be given to people who are sensitive to sympathomimetic drugs, people with severe high blood pressure, and people who are on MAOI anti-depressant therapy.
90|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
90|Do not exceed the recommended dose
90|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
90|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
90|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
90|Patients with heart problems and diabetes mellitus
90|Patients with severe liver dysfunction
91|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
91|Do not exceed the recommended dose
91|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
91|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
91|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
91|Patients who are hypersensitive to the components of this drug
92|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
92|Do not exceed the recommended dose
92|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
92|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
92|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
92|Patients with heart problems and diabetes mellitus
92|Patients with severe liver dysfunction
92|Hypersensitivity to the components of this drug
93|Hypersensitivity to any of the components
94|Patients who are hypersensitive to the components of this drug
95|Hypersensitivity to any of the components of this drug
96|Komix Herbal medicine should not be given to patients who are hypersensitive to any of the ingredients in it
97|Komix Herbal medicine should not be given to patients who are hypersensitive to any of the ingredients in it
98|Komix Herbal medicine should not be given to patients who are hypersensitive to any of the ingredients in it
99|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
99|Do not exceed the recommended dose
99|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
99|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
99|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
99|Patients with heart problems and diabetes mellitus
99|Patients with severe liver dysfunction
99|Hypersensitivity to the components of this drug
100|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
100|Do not exceed the recommended dose
100|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
100|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
100|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
100|Patients with heart problems and diabetes mellitus
100|Patients with severe liver dysfunction
100|Hypersensitivity to the components of this drug
