id|nama_obat|kategori_penyakit|indikasi
57|Laserin Madu|batuk|Membantu meredakan batuk dan melegakan tenggorokan
58|Bisolvon Kids|batuk|BISOLVON bekerja sebagai mukolitik untuk meredakan batuk berdahak
59|Bisolvon Solution|batuk|BISOLVON bekerja sebagai mukolitik untuk meredakan batuk berdahak
60|Termorex Plus|batuk dan flu|Meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk
61|Nellco Special PE Anak-anak|batuk dan flu|Untuk meringankan gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk
62|OBH Combi Anak Batuk + Flu|batuk dan flu|Untuk meredakan batuk yang disertai gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin
63|Hufagripp Flu Batuk|batuk dan flu|Meringankan gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat, dan bersin-bersin yang disertai batuk berdahak
64|Coparcetin|batuk dan flu|Meringankan gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk berdahak
65|Bronchitin Expectorant|batuk dan flu|Untuk sementara meredakan gejala demam, hidung tersumbat, dan batuk berdahak
66|Bodrexin Flu Batuk Tidak Berdahak DPH|batuk dan flu|Meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk tidak berdahak
67|Bodrexin Flu Batuk PE|batuk dan flu|Meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk berdahak
68|Anakonidin OBH|batuk dan flu|Untuk meredakan batuk dan gejala flu seperti demam, sakit kepala, hidung tersumbat serta bersin-bersin
69|Anacetine|batuk dan flu|Untuk meringankan demam, sakit kepala, dan bersin-bersin yang disertai batuk
70|Triaminic Batuk dan Pilek|batuk dan pilek|Meredakan batuk tidak berdahak dan melegakan hidung tersumbat karena pilek
71|Hufagripp Batuk Pilek|batuk dan pilek|Untuk meringankan batuk tidak berdahak dan pilek
72|Anakonidin|batuk dan pilek|Untuk meringankan batuk dan pilek
73|Decolgen Kids Flu|flu|Untuk meringankan gejala flu seperti demam, sakit kepala, bersin-bersin dan hidung tersumbat
74|Triaminic Pilek|pilek|Meringankan bersin-bersin dan Melegakan hidung tersumbat karena pilek
75|Rhinos Junior|pilek|Meringankan bersin-bersin dan hidung tersumbat karena pilek
76|Rhinos Neo|pilek|Meringankan hidung tersumbat karena pilek
77|Hufagripp Pilek|pilek|Untuk meringankan bersin-bersin dan hidung tersumbat karena pilek
78|Bisolvon Tablet|batuk|BISOLVON bekerja sebagai mukolitik untuk meredakan batuk berdahak
79|Acetylcysteine|batuk|Mengencerkan dahak di saluran pernafasan
80|Guaifenesin|batuk|Meredakan batuk berdahak sebagai ekspektoran
81|Alpara|batuk dan flu|Untuk meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk
82|Bodrex Flu Batuk PE|batuk dan flu|Meredakan gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk tidak berdahak
83|Panadol Cold Flu|batuk dan flu|Untuk meringankan gejala-gejala flu seperti demam, sakit kepala dan hidung tersumbat yang disertai batuk tidak berdahak
84|Paramex Flu Batuk PE|batuk dan flu|Meringankan gejala flu demam, sakit kepala, hidung tersumbat dan batuk tidak berdahak
85|Procold Flu Batuk|batuk dan flu|Untuk meringankan gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan batuk tidak berdahak
86|Tuzalos|batuk dan flu|Untuk meringankan gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk
87|Bodrex Flu Batuk Berdahak PE|batuk dan flu|Meredakan gejala flu seperti , sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk berdahak
88|Decolsin Tablet|batuk dan flu|Untuk meredakan batuk yang menyertai gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin
89|Decolgen Tablet|flu|Untuk meredakan gejala flu seperti sakit kepala, demam, bersin-bersin dan hidung tersumbat
90|Inza|flu|Untuk meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin
91|Mixagrip Flu|flu|Untuk meringankan gejala-gejala flu seperti bersin - bersin, hidung tersumbat, demam, dan sakit kepala
92|Dicom|pilek|Meringankan bersin-bersin dan hidung tersumbat
93|Grantusif|batuk|Untuk mengobati batuk yang disertai alergi
94|Konidin|batuk|Untuk meringankan batuk
95|Komix|batuk|Untuk meredakan batuk
96|Komix Herbal Tube|batuk|Membantu meredakan batuk berdahak
97|Komix Herbal Kids Tube|batuk|Membantu meredakan batuk berdahak pada anak
98|Komix Herbal Sachet|batuk|Membantu meredakan batuk berdahak
99|Flucadex Tablet|batuk dan flu|Meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk
100|Intunal-F Tablet|batuk dan flu|Untuk meringankan gejala-gejala fiu seperti demam, sakit kepala, hidung tersumbat, dan bersin-bersin yang disertai batuk
101|Stop Cold|batuk dan flu|Untuk meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk
102|Tera - F|batuk dan flu|Untuk meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk
103|Paratusin Tablet|batuk dan flu|Untuk meringankan gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk
104|Komix OBH|batuk dan pilek|Untuk meringankan batuk berdahak dan pilek
105|Komix OBH Kids|batuk dan pilek|Untuk meringankan batuk berdahak dan pilek
106|Molexflu|flu|Untuk meringankan gejala flu seperti demam,. sakit kepala, hidung tersumbat, dan bersin-bersin
107|Neozep Forte|flu|Meringankan gejala-gejala flu seperti demam, sakit kepala, pilek, hidung tersumbat, dan bersin-bersin
108|Procold Flu|flu|Untuk meringankan gejala - gejala flu seperti bersin bersin, hidung tersumbat, demam dan sakit kepala
109|Sanaflu|flu|Meringankan gejala flu seperti demam, sakit kepala dan hidung tersumbat
110|Ultraflu|flu|Meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin
111|Nalgestan|pilek|Untuk meringankan bersin-bersin dan hidung tersumbat karena pilek
