id_obat|profil|dosis
77|Anak usia 6-12 tahun|3 x sehari 1 sendok takar 5 ml
77|Dewasa dan anak 12 tahun|3 x sehari 2 sendok takar 10 ml
78|Dewasa & Anak > 12 th|3 x 1 tablet sehari
78|Anak 6-12 tahun|3 x 1/2 tablet sehari
78|Anak 2-6 tahun|2 x 1/2 tablet sehari
79|Dewasa dan anak usia di atas 14 tahun|1 kapsul 2-3 x sehari setara dengan 400-600 mg NAChari
79|Anak usia 6-14 tahun|1 kapsul 2 x sehari setara dengan 400 mg NAChari
79|Anak usia di atas 6 tahun|1 kapsul 3 x sehari setara dengan 600 mg NAChari
79|Anak di bawah 6 tahun|pertimbangkan penggunaan sediaan lain yang sesuai
80|Dewasa|2-4 tablet setiap 4 jam maksimum 24 tablet sehari
80|Anak 6 - 12 tahun|1-2 tablet setiap 4 jam maksimum 12 tablet sehari
80|Anak 2 - 6 tahun|21 tablet setiap 4 jam maksimum 6 tablet sehari
81|Anak-anak 6-12 tahun|12 kaplet, 3 kali sehari
81|Diatas 12 tahun dewasa|1 kaplet, 3 kali sehari
82|Dewasa|1 kaplet 3 kali sehari
83|Dewasa|1 kaplet 13 kali sehari. Jangan diberikan kepada anak-anak di bawah umur 12 tahun, kecuali atas petunjuk dokter.
84|Anak-anak 6-12 tahun|3 x sehari 12 tablet
84|Dewasa|3 kali sehari 1 tablet
85|Dewasa anak 12 tahun|sehari 3 kall 1 kaplet
85|Anak 6-12 tahun|sehari 3 kali kaplet
86|Dewasa|1 kaplet, 3 kali sehari
86|Anak-anak 6-12 tahun|1/2 kaplet, 3 kali sehari
87|Dewasa|1 kaplet 3 kali sehari
88|Dewasa|3 kali sehari 1 kapsul
89|Dewasa|1 tablet
89|Anak-anak 6-12 tahun|12 tablet
90|Anak-anak 6-12 tahun|3 x sehari 1/2 kaplet
90|Dewasa|3 x sehari 1 kaplet
91|Dewasa dan anak diatas 12 tahun|sehari 3-4 kali 1 kaplet
91|Anak 6-12 tahun|sehari 3-4 kali 1/2 kaplet
92|Dewasa|1 tablet, 3x sehari
92|Anak-anak 6-12 tahun|1/2 tablet, 3 kali sehari
93|Dewasa dan anak 12 tahun|1-2 kaplet, 3 x sehari
93|Anak 6-12 tahun|12 - 1 kaplet, 3x sehari
94|Dewasa dan anak-anak diatas 12 tahun|3 x sehari 1-2 tablet
94|Anak-anak 6-12 tahun|3 x sehari 1 1/2-1 tablet
95|Dewasa|3x sehari 1-2 sachet
96|Dewasa|3 x sehari 1 tube botol
96|Anak anak|12 dosis dewasa
97|Anak umur 2-6 tahun|3 x sehari 12 tube
97|Anak umur 6-12 tahun|3 x sehari 1 tube
98|Dewasa|3 x sehari 1 sachet
98|Anak anak|12 dosis dewasa
99|Dewasa|1 kaplet 3 kali sehari
99|Anak 6-12 tahun|kaplet 3 kali sehari
100|Dewasa|1 tablet 3 kali sehari
100|Anak-anak 6-12 tahun|1/2 tablet 3 kali sehari
101|Dewasa|1 tablet, 3 kali sehari
102|Dewasa dan anak-anak diatas 12 tahun|1 kaplet, 3-4 kali sehari
102|Anak-anak 6-12 tahun|1 1/2 kaplet, 3-4 kali sehari
103|Dewasa|1 tablet, 3 x sehari
103|Anak 6-12 tahun|1 1/2 tablet, 3 x sehari
104|Dewasa dan anak di atas 12 tahun|3 kali 2 sachet sehari
104|Anak 6-12 tahun|3 kali 1 sachet sehari
105|Anak 6-12 tahun|3x sehari 1 sachet
106|Dewasa|1 kaplet 3 kali sehari
106|Anak-anak 6 - 12 tahun|12 kaplet 3 kali sehari
107|Dewasa|1 tablet
107|Anak 6-12 tahun|12 tablet
108|Dewasa|3 kali sehari 1 kaplet
108|Anak 6-12 tahun|3 kali sehari 1½ kaplet
109|Dewasa|1 kaplet, diminum 3 kali sehari
109|Anak usia 6-12 tahun|½ kaplet, diminum 3 kali sehari
110|Dewasa dan anak usia 12 tahun| 1 kaplet, 3 kali sehari
111|Dewasa|1 tablet 3 - 4 kali sehari
